Unnamed: 0.1,cd_loc,latlong,lat,long,district
4409,대연동 황령대로492번길 남천중학교 후문 부근(직각),"[35.1364491, 129.1052233]",35.13644910000001,129.1052233,537.0
4410,대연동 천제등로 동성하이타운 부근(횡단보도),"[35.1335158, 129.0871219]",35.1335158,129.0871219,293.0
4411,감만동 홍곡로120번길 유창연립 부근(직각),"[35.1162062, 129.0878267]",35.1162062,129.0878267,336.0
4412,용호동 동명로 호호삼겹 부근(횡단보도),"[35.1190685, 129.1143856]",35.1190685,129.1143856,685.0
4413,대연동 못골로 남구청 주차장입구 부근(횡단보도),"[35.1365783, 129.0842468]",35.1365783,129.0842468,257.0
4414,대연동 천제등로 57 부근,"[35.1310566, 129.0898288]",35.1310566,129.0898288,329.0
4415,감만동 우암로 64 부산은행옆,"[35.1161487, 129.0814498]",35.116148700000004,129.0814498,231.0
4416,용호동 동명로146번길 미가북어국 부근,"[35.1190956, 129.1121173]",35.1190956,129.1121173,650.0
4417,용호동 동명로 호호삼겹 부근,"[35.1190685, 129.1143856]",35.1190685,129.1143856,685.0
4418,용호동 용호로197번길 12 부근,"[35.1146431, 129.1116893]",35.1146431,129.1116893,652.0
4419,용호동 용호로197번길 2동동사무소 부근,"[35.1148343, 129.1134427]",35.1148343,129.1134427,652.0
4420,대연동 수영로266번길 10 부근,"[35.1346742, 129.096296]",35.134674200000006,129.096296,433.0
4421,용호동 용호로42번길 103 부근,"[35.1222433, 129.1097487]",35.122243299999994,129.10974869999998,613.0
4422,용당동 신선대산복로 현대아이파크아파트 부근(횡단보도),"[35.1187566, 129.0990577]",35.1187566,129.0990577,475.0
4423,용호동 동명로163번길 22 부근,"[35.1200203, 129.1152664]",35.1200203,129.11526640000002,684.0
4424,대연동 유엔로157번길 65 부근,"[35.1331826, 129.0931785]",35.1331826,129.0931785,398.0
4425,용당동 신선로 313-1 부근,"[35.1141352, 129.09538]",35.1141352,129.09538,442.0
4426,대연동 황령대로319번길 장백아파트 부근,"[35.149428, 129.091]",35.149428,129.091,356.0
4427,용당동 동명로 26 부근(인도),"[35.1189092, 129.0991466]",35.1189092,129.0991466,475.0
4428,용당동 동명로 26 부근,"[35.1189092, 129.0991466]",35.1189092,129.0991466,475.0
4429,대연동 유엔로120번가길 4 부근(곡각/횡단보도),"[35.129802, 129.089619]",35.129802000000005,129.089619,330.0
4430,대연동 유엔평화로10번길 송원아트빌 부근,"[35.1337825, 129.0913913]",35.1337825,129.0913913,363.0
4431,용호동 용호로159번길 참사랑안경 부근,"[35.1180903, 129.1117787]",35.1180903,129.1117787,650.0
4432,용호동 용호로269번길 3 부근,"[35.108527, 129.1123873]",35.108527,129.1123873,654.0
4433,용호동 용호로269번길 7 부근,"[35.1091115, 129.113583]",35.1091115,129.113583,654.0
4434,대연동 유엔평화로13번길 23 부근,"[35.1339912, 129.0939041]",35.133991200000004,129.0939041,398.0
4435,용호동 동명로125번길 2 부근,"[35.1200403, 129.1109333]",35.1200403,129.1109333,614.0
4436,용호동 용호로42번길 용호1치안센터 부근,"[35.1255999, 129.1094845]",35.125599900000005,129.1094845,612.0
4437,용당동 신선대산복로 현대아이파크 부근(횡단보도),"[35.1187566, 129.0990577]",35.1187566,129.0990577,475.0
4438,용호동 용호로159번길 민하헤어샵 부근,"[35.1175952, 129.1136819]",35.117595200000004,129.11368190000002,650.0
4439,용호동 동명로145번길 86 부근,"[35.12341809999999, 129.1133566]",35.12341809999999,129.11335659999997,648.0
4440,용호동 동명로145번길 82 부근,"[35.1232109, 129.1133417]",35.1232109,129.1133417,648.0
4441,용호동 동명로145번길 76 부근,"[35.12291820000001, 129.1133158]",35.12291820000001,129.1133158,648.0
4442,용호동 동명로145번길 40 부근,"[35.1212622, 129.1131364]",35.121262200000004,129.1131364,649.0
4443,용호동 용호로 42번길 화장품물류센타 부근,"[35.1244506, 129.1101676]",35.124450599999996,129.1101676,612.0
4444,용호동 용호로216번가길 투다리 부근,"[35.111486, 129.1096654]",35.111486,129.1096654,618.0
4445,용호동 동명로145번길 54 부근,"[35.1219573, 129.1132204]",35.1219573,129.11322040000002,648.0
4446,용호동 용호로42번길 삼성시장 부근(곡각지),"[35.1230509, 129.1094014]",35.123050899999996,129.1094014,613.0
4447,용호동 동명로145번길 정이가네 부근,"[35.1215291, 129.1129315]",35.121529100000004,129.1129315,649.0
4448,용호동 동명로145번길 43 부근,"[35.1215291, 129.1129315]",35.121529100000004,129.1129315,649.0
4449,용호동 동명로145번길 분포아파트 부근,"[35.1219509, 129.1128063]",35.121950899999995,129.11280630000002,648.0
4450,용호동 이기대공원로 환경공단 부근(도로가운데주차),"[35.1322108, 129.1210029]",35.132210799999996,129.1210029,749.0
4451,용호동 용호로 42번길 삼성시장 부근,"[35.1120354, 129.1085848]",35.112035399999996,129.1085848,583.0
4452,용호동 용호로216번가길 17 부근,"[35.112339, 129.1103209]",35.112339,129.1103209,618.0
4453,용호1동 동명로146번길부근,"[35.1158683, 129.1125843]",35.115868299999995,129.11258429999998,651.0
4454,감만1동 감만119안전센터부근(횡단보도),"[35.1177262, 129.0805459]",35.11772620000001,129.0805459,230.0
4455,용호동 동명로118번길 107 부근,"[35.1153772, 129.109671]",35.115377200000005,129.109671,616.0
4456,용호동 용호로110번길 미니스탑 부근,"[35.1200095, 129.1099931]",35.120009499999995,129.1099931,614.0
4457,용당동 신선대산복로 현대아이파크 부근(곡각지),"[35.1119505, 129.1034747]",35.1119505,129.1034747,548.0
4458,대연동 천제등로16번길 현대아파트입구 부근,"[35.1315882, 129.0861697]",35.1315882,129.0861697,294.0
4459,대연동 수영로266번길 왕성부동산 부근(곡각지),"[35.1337439, 129.0985077]",35.1337439,129.0985077,468.0
